label,Quotes
BOOKER,"[' First of all, I want to say no. Actually, I want to translate that into Spanish', ' No. Look, on, let’s just be clear, the factory farming going on that’s assaulting this corporate consolidation of the agriculture industry, one of the reasons why I have a bill to put a moratorium on this kind of corporate consolidation is because this factory farming is destroying and hurting our environment. And you see independent family farmers being pushed out of business because of the kind of incentives we are giving that don’t line up with our values. That’s what I’m calling for. But I want to switch because we don’t have a crowded debate stage. We were talking about Afghanistan and Iraq. It annoys me that we had a conversation about our troops overseas and we didn’t say one word about veterans in our country. We have a shameful reality in America that we send people off to war and they often come home with invisible wounds, hurts and harms. They’re disproportionately homeless. You hear stories about women waiting for months for gynecological care through the VA. It is very important that as we, as a country, understand that we are not going to solve every problem with this outrageous increased militarism, that we also make sure that we stand up for the people that stood for us. We end our national anthem with, Home of the brave. It’s about time we make this a better home for our bravest.']"
SANDERS,[' On the Medicare for all the hospitals will save substantial sums of money because they’re not gonna be spending a fortune doing billing and the other bureaucratic things that they have to do today.']
OROURKE,"[' I would, in my first term in office, agree that there is nothing about perpetuating this war already in its 18th year, that will make it any better. We’ve satisfied the reasons for our involvement in Afghanistan in the first place, and it’s time to bring those service members back home from Afghanistan, but also from Iraq, also from Yemen and Somalia and Libya and Syria. There’s no reason for us to be at war all over the world tonight. As president, I will end those wars and we will not start new wars. We will not send more US service members overseas, to sacrifice their lives and to take the lives of others in our name, we can resolve these challenges…']"
GABBARD,"[' This is an issue that impacts all of us as Americans and people all over the world. This is not a Democrat issue or a Republican issue, this is about the environmental threats that each and every one of us face, these are the kinds of conversations that we’re having in our town hall meetings and house parties in different parts of the country where we have Democrats, Republicans, Libertarians and Independents coming together saying, “Hey, we are all concerned about making sure that we have clean water to drink for our families, that we have clean air to breathe, that we’re able to raise our kids in a community that’s safe.” It is the hyper-partisanship in Washington, unfortunately, that has created this gridlock that has stood in the way of the kinds of progress that I would bring about, as president.']"
BIDEN,"[' This is reassuring in the fact that we’re all acknowledging that we have to reach across the aisle, get things done. No other way to get anything done in this country. The two people maybe would surprise you the most were… He’s been mentioned twice, but John McCain, John McCain worked for me when he worked in the Navy, and he was my… He was assigned to me to travel around the world. We became close friends, he became very close friends with my wife Jill, Visited our home. He was there with his children. And on his death bed he asked me to do his eulogy. John, I would say to John, “John, you didn’t see a war you never wanted to fight.” And he’d say, “You didn’t see a problem you never wanted to solve.” But he was a great man of principle. He was honorable, he was honorable. And one of the things that’s the reason why I’m running, we have to restore the soul of this country. That’s why I’m doing this. In fact, this president has ripped the soul out of this country, divided us in ways that are absolutely outrageous. A liar, he cheats, he does not do anything to promote people generally.']"
BIDEN,"[' And so we have to just change the culture, period, and keep punching at it and punching at it and punching at it. It will be a big… No, I really mean it. It’s a gigantic issue. And we have to make it clear from the top, from the president on down, that we will not tolerate it. We will not tolerate this culture.']"
STEYER,"[' And over 10 years ago, I saw that there was a terrible threat to the safety and health of every American in terms of the climate crisis and I’ve been fighting those companies with the help of the American people ever since, successfully. And that’s why I’m running for president because our government has failed, it’s been bought by corporations and it’s absolutely essential to return power to the people.']"
STEYER,"[' So I’m friends with a woman from Denmark, South Carolina, named Deanna Berry, who’s fighting for clean water and environmental justice in her community. She’s a different gender, she’s a different race, she’s from a different part of the country, but she reminds me of my parents in terms of her courage and her optimism and her honor. My mother was a school teacher in the New York public schools, and in the Brooklyn house of detention. My father was the first generation in his family to go to college. My grandfather was a plumber. He interrupted his law degree to go into the Navy in World War II, and he ended up prosecuting the Nazis at Nuremberg. And when I asked him what that experience meant, he said, “When you see something wrong in your society, you fight it from the first day, and every single day after.” And that’s why I started the Need to Impeach Movement two years ago because there was something terribly wrong at 1600 Pennsylvania Avenue.']"
BIDEN,"[' Yes. And by the way, it’s one of the reasons… The first thing I would do is make sure we pass the Violence Against Women Act reauthorization, which I wrote. In fact, I didn’t write the reauthorization. I wrote the original Act. The fact is that what happens now is that we, in fact, have to fundamentally change the culture, the culture of how women are treated. That’s why as Vice President… And when I asked the President, I could start the movement on the college campuses to say, “It’s on us.” It’s everyone’s responsibility. We do not spend nearly enough time dealing with… I was stunned when I did a virtual town meeting that told me 30,000 people were on the call, young people between 15 and 25, and found out I said, “What do you need… What do you need to make you safer on college campuses and on your schools?” You know what they said? “Get men involved, engage the rest of the community.” And that’s when we started this movement on the college campuses to fundamentally change the culture. No man has a right to raise a hand to a woman in anger, other than in self-defense, and that rarely ever occurs.']"
BUTTIGIEG,"[' So, we don’t have to stand up here speculating about whether the public option will be better than… Or a Medicare for All environment will be better than the corporate options. We can put it to the test. That’s the concept of my Medicare for All Who Want It proposal. That way, if people like me are right, that the public alternative is going to be not only more comprehensive, but more affordable than any of the corporate options around there, we’ll see Americans walk away from the corporate options into that Medicare option, and it will become Medicare for All without us having to kick anybody off…']"
BIDEN,"[' The greed and profiteering of those insurance companies. They are as much against my bill as they are anybody else. That were strongly against ObamaCare. They know it cost them, and it’s going to take away the right of people to choose, the 160 million people out there who’ve negotiated their health insurance and they want to keep it.']"
GABBARD,"[' These are wars that have cost us as American taxpayers trillions of dollars since 9/11 alone, dollars that have come out of our pockets, out of our hospitals, out of our schools, out of our infrastructure needs. As president, I will end this foreign policy, end these regime change wars, work to end this new cold war and arms race, and instead invest our hard-earned tax payer dollars actually into serving the needs of the American people right here at home.']"
OROURKE,"[' The question was about tarrifs, and they’re a huge mistake. They constitute the largest tax increase on the American consumer, hitting the middle class and the working poor especially hard. And farmers in Iowa and across the country are bearing the brunt of the consequences. When have we ever gone to war, including a trade war, without allies and friends and partners? As president, we will hold China accountable, but we will bring our allies and friends like the European Union to bear. And we’ll also negotiate trade deals that favor farmers and American workers and protect human rights and the environment and labor. Not just here in the United States but in the…']"
SANDERS,"[' And second of all, second of all, many of our union brothers and sisters… Nobody more pro-union than me up here… Are now paying high deductibles and co-payments and when we do Medicare for All instead of having the company putting money into health care, they can get decent wage increases, which they’re not getting today.']"
BOOKER,"[' I will lead an effort to make sure that we re-write our immigration laws in that way. Never cage another child, make sure that there is accountability and justice for the seven lives lost under our care and our custody, but also face the fact that Democrats and Republicans alike voted to build a wall that has produced thousands of deaths of people trying to cross to join family or to work a job, that we have been part of deporting people, hundreds of thousands, just in the Obama administration alone, who posed no threat to this country, breaking up their families. Democrats have to get off the back foot. We have to lead on this issue because we know it is right, legalize America, begin with those more than 1 million dreamers, make them US citizens right now, and this their true home country. And extend that to their parents, their sisters and their brothers, and ensure that we have a legal, safe, orderly system to come to this country and add to our greatness here.']"
KLOBUCHAR,"[' We need a new foreign policy in this country, and that means renewing our relationships with our allies, it means rejoining international agreements, and it means reasserting our American values. And so, when the president did not stand up the way he should have to that killing and that dismemberment of a journalist with an American newspaper, that sent a signal to all dictators across the country, across the world that that was okay, and that’s wrong. And I want to add a few things to what my colleagues have said. First of all, the question about Russia. When we look at international agreements, we must start negotiating back with Russia, which has been a horrible player on the international scene, but the president precipitously got out of the nuclear agreement with Russia, and we must start negotiating, even though they were cheating, for the good of this world. And we must also start the negotiations for the new START Treaty, and when it comes to China, we need someone that sees the long term like I do, just like the Chinese do, because we have a president that literally makes decisions based on his next tweet, and they are in it for the long game.']"
BUTTIGIEG,"[' We can and must do that, but that means transcending this framework that pits us against each other, that pits a single black mother of three against a displaced auto worker. ‘Cause when I come… Where I come from, a lot of times, that displaced auto worker is a single black mother of three. We’ve got to say that and bring people together.']"
BUTTIGIEG,"[' Well, Congressman, you just made it clear that you don’t know how this is actually going to take weapons off the streets. If you can develop the plan further, I think we can have a debate about it, but we can’t wait. People are dying in the streets right now. We can’t wait for universal background checks that we finally have a shot to actually get through. We can’t wait to ban the sale of new weapons and high-capacity magazines so we don’t wind up with millions more of these things on the street. We can’t wait for Red Flag laws or go in to disarm domestic abusers and prevent suicides, which are not being talked about nearly enough as a huge part of the gun violence epidemic in this country. We cannot wait for purity tests. We have to just get something done.']"
BOOKER,"[' And what I learned there is that you have to be an executive that can heal. In my city, we have racial divides, we have geographic divides that go from wealth to people that are struggling. The success of my city was ’cause we brought us all together and did things that other people said couldn’t be done. When I am president of the United States, my campaign from the very beginning has not changed. My charge is to see a nation right now which has so much common pain, to channel that back into a sense of common purpose. And I will do whatever it takes, bringing creativity to that office like has never been seen before.']"
HARRIS,"[' When I think about this issue, it really is through the lens of my baby nieces who are one-and-a-half and three-years old. When I look at what is going to be the world if we do nothing, when they turn 20, I am really scared. And when I’ve been in the United States Senate, for now, the last two-and-a-half-years, and I look at our counterparts, the Republicans in the United States Senate, they must be looking at their children, and then when they look at the mirror, I don’t know what they see, but it’s a lack of courage. And this is an issue that, yes, it represents an existential threat. It is also something we can do something about. This is a problem that was created by human behaviors, and we can change our behaviors in a way that saves our planet, I’ve seen it happen in California.']"
WARREN,"[' What I do have a problem with is that, if we’re going to talk seriously about breaking up big tech, then we should ask if people are taking money from the big tech executives. If we’re going to talk seriously about breaking up big drug companies, we should ask if people are financing their campaigns by taking money from big drug executives, if we are going to talk about Wall Street and having some serious regulation over Wall Street, we should ask if people are funding their campaigns by taking money from those executives. So long as that’s…']"
WARREN,"[' So my view on this and what I have committed to is costs will go down for hard-working middle class families. I will not embrace a plan like Medicare for all who can afford it, that will leave behind millions of people who cannot, and I will not embrace a plan that says people have great insurance right until you get the diagnosis and the insurance company says, “Sorry, we’re not covering your expensive cancer treatments, we’re not covering your expensive treatment for Tom Steyer, we’re not covering what you need.”']"
HARRIS,"[' Sure. And everybody, please visit my website, KamalaHarris.org, for the details on everything I talk about. Six months. So, part of how I believe we’re going to win this election is, it is going to be because we are focused on the future, we are focused on the challenges that are presented today, and not trying to bring back yesterday to solve tomorrow.']"
HARRIS,"[' My plan is as follows', ' For any state that passes a law that violates the Constitution, and in particular Roe v. Wade, our Department of Justice will review that law to determine if it is compliant with Roe v. Wade and the Constitution, and if it is not that law will not go into effect, that’s called pre-clearance, because the reality is that while we still have, as I said earlier, these state legislators who are outdated and out of touch, mostly men who are telling women what to do with their bodies, then there needs to be accountability and consequence. But I’ll go further, you may have seen, I questioned Brett Kavanaugh, when I was a member of the Senate Judiciary Committee and asked him, as a nominee to serve on the United States Supreme Court, could he think of any law that tells a man what to do with his body? And the answer was No. The reality of it is this is still a fundamental issue of justice for women in America. Women have been given the responsibility to perpetuate the human species. Our bodies were created to do that and it does not give any other person the right to tell a woman what to do with that body. It is her body, it is her right, it is her decision.']"
WARREN,"[' I have the biggest anti-corruption plan since Watergate. It involves ending lobbying as we know it, blocking the revolving door between industry and Washington, making everyone who runs for federal office put their tax returns online. We have to have the courage, not to make just individual changes, not to fight for little pieces. We want to make real progress on climate, then we have to start by attacking the corruption that gives the oil industry and other fossil fuel industries a stranglehold over this country.']"
HARRIS,"[' I am. And I will tell you, as a former prosecutor, I do think of this as being a matter of justice and accountability, because they are nothing more than some high-level dope dealers. They have been engaged…']"
HARRIS,"[' So, six months’ paid family leave is meant to and is designed to adjust to the reality of women’s lives today. The reality also is that women are not paid equal for equal work in America. We passed the Equal Pay Act in 1963 but fast forward to the year of our Lord 2019, and women are paid 80 cents on the dollar, Black women 61 cents, Native American women, 58 cents, Latinas 53 cents.']"
HARRIS,"[' Well, first of all, we have a criminal living in the White House. And there is no question that in 2020 the biggest issue before us, until we get to that tender moment, is justice is on the ballot. And what we saw today is Ambassador Sondland by his own words told us that everyone was in the loop. That means it is a criminal enterprise engaged in by the president, from what we heard today, the vice president, the secretary of state, and the chief of staff. And so this not only points to the corrupt nature of this administration and the need for these impeachment proceedings to go forward, but it also points to another issue. And back to the question that you asked earlier, which is, what does this mean for the American people? ‘Cause what it means, when I watch this, is that there are clearly two different set of rules for two different groups of people in America', ' The powerful people who with their arrogance think they can get away with this and then everybody else.']"
WARREN,"[' Look, I’m not willing to give up and let a handful of monopolists dominate our economy and our democracy. It’s time to fight back. Think about it this way. When you talk about how it works in competition, about 8%, 9% of all retail sales happen at bricks and sticks stores, happen at Walmart. About 49% of all sales online happen in one place', ' That’s Amazon. It collects information from every little business, and then Amazon does something else. It runs the platform, gets all the information, and then goes into competition with those little businesses. Look, you get to be the umpire in the baseball game, or you get to have a team, but you don’t get to do both at the same time. We need to enforce our antitrust laws, break up these giant companies that are dominating big tech, big pharma, big oil, all of them.']"
WARREN,"[' So the way I see this, it is about what kinds of costs middle class families are going to face. So let me be clear on this, costs will go up for the wealthy, they will go up for big corporations, and for middle class families they will go down, I will not sign a bill into law that does not lower costs for middle class families.']"
WARREN,"[' Sure. So let me just tell you what we can do with that 2 cent wealth tax. Two cents on the top one tenth of 1% in this country and we can provide universal child care for every baby in this country age zero to five. That is transformative. We can provide universal pre-K for every three-year-old and four-year-old in America. We can stop exploiting the women, largely black and brown women, who do this work. And we can raise the wages of every child care worker and pre-school teacher in America. We can put 800 billion new federal dollars into all of our public schools. We can make college tuition free for every kid. We can put $50 billion into historically black colleges and universities and we can cancel student loan debt for 95% of the folks who’ve got it. Two cent wealth tax and we can invest in an entire generation’s future.']"
HARRIS,"[' And yes, we can, because I’ll tell you something. The way that I think about this is, I’ve seen more autopsy photographs than I care to tell you. I have attended more police officer funerals than I care to tell you. I have hugged more mothers of homicide victims than I care to tell you. And the idea that we would wait for this Congress, which has just done nothing to act, it is overlooking the fact that every day in America, our babies are going to school to have drills, elementary, middle and high school students, where they are learning about how they have to hide in a closet or crouch in a corner if there is a mass shooter roaming the hallways of their school. I was talking about this at one of my town halls and this child, it was eight years old, probably, came up to me, it was like it was a secret between the two of us, and he tugged on my jacket and he said, “I had to have one of those drills.” It is traumatizing our children. El Paso and Beto, God love you for standing so courageously in the midst of that tragedy. You know, people asked me in El Paso, they said… ‘Cause I have a long standing record on this issue, they said, “Well, do you think Trump is responsible for what happened?” And I said, “Well, look, I mean, obviously, he didn’t pull the trigger, but he’s certainly been tweeting out the ammunition.”']"
BUTTIGIEG,"[' The problem, Bernie Sanders, with that damn bill that you wrote and that Elizabeth Warren backs is that it doesn’t trust the American people. I trust you to choose what makes the most sense for you, not my way or the highway. Now, look, I think we do have to go far beyond tinkering with the Anderson CooperA. I propose Medicare for all who want it. We take a version of Medicare, we make it available for the American people, and if we’re right as progressives that that public alternative is better, then the American people will figure that out for themselves. I trust the American people to make the right choice for them. Why don’t you?']"
BUTTIGIEG,"[' Well, respectfully, Congresswoman, I think that is dead wrong. The slaughter going on in Syria is not a consequence of American presence, it’s a consequence of a withdrawal and a betrayal by this president of American allies and American values. Look, I didn’t think we should have gone to Iraq in the first place. I think we need to get out of Afghanistan. But it’s also the case that a small number of specialized Special Operations forces and intelligence capabilities were the only thing that stood between that part of Syria and what we’re seeing now, which is the beginning of a genocide and the resurgence of ISIS. Meanwhile, soldiers in the field are reporting that for the first time, they feel ashamed, ashamed of what their country has done. We saw the spectacle, the horrifying sight of a woman with the lifeless body of her child in her arms asking what the hell happened to American leadership. And when I was deployed, I knew one of the things keeping me safe was the fact that the flag on my shoulder represented a country known to keep its word. And our allies knew it and our enemies knew it.']"
BOOKER,"[' So I’m hearing a lot of conversations on the stage that… And the way we talk about communities of color. Look, I live in a black and brown community below the poverty line. I’ve lived in public housing projects, almost for a decade, and saw the anguish of parents who are just so deeply frustrated that they don’t have a school that serves your genius. I think I’m the only person on the stage, even though I had no formal authority as mayor to run a school system, I stepped up and took responsibility for our schools, and we produced results. A lot of folks here talking about raising teacher salary, we actually did it in Newark, New Jersey and we didn’t stop there. We closed poor performing charter schools, but dagnabbit, we expanded high-performing charter schools. We were a city that said we need to find local solutions that work for our community, the results speak for themselves, we’re now the number one city in America for beat the odds schools, from high poverty to high performance.']"
SANDERS,"[' What I am talking about, and others up here are talking about is no deductibles and no co-payments. And Jake Tapper, your question is a Republican talking point. At the end of the day, and by the way…']"
GABBARD,"[' Transitioning our country off of fossil fuels and ending the nearly $30 billion in subsidies that we as taxpayers are currently giving to the fossil fuel industry instead of investing in a green renewable energy economy that leads us into the 21st century with good paying jobs, a sustainable economy, investing in infrastructure and transitioning our agriculture that is a great contributor to the environmental threats we face towards an agriculture system that focuses on local and regional production of food, healthy food that will actually feed the health and wellbeing of our people, leading as a leader in the world to make the global change necessary to address these threats.']"
OROURKE,"[' We are as divided and polarized as a country as we have ever been, and right now we have a President who uses fear to try to drive us further apart. To meet this challenge we have to have hope in one another and a faith in a future of this country that includes everyone. My whole life, I’ve been including people in the success of this country. Starting a small business with high value, high wage, high skilled jobs in the third poorest urban county in America. Serving on the city council and holding town hall meetings every single week to remind myself who it is that I serve at the end of the day. And in Congress being in the minority, but working with Democrats and Republicans alike to deliver for my constituents and this country. And then in Texas, this last year. Traveling to every county. Not writing anybody off, not taking anyone for granted. And at the end of the day, winning more votes than any Democrat had in the history of the State. Winning independence for the first time in decades, and winning nearly half a million Republicans. And those 38 electoral college votes in Texas are now in play, and I can win them. That is how we defeat Donald Trump in November of 2020 and how we bring this divided country together again in January of 2021. Thank you.']"
SANDERS,"[' To the original point. The American people understand that the political system we have today is corrupt. And it is not just voter suppression which cost the Democratic Party a governorship here in this state, not just denying Black people or people of color the right to vote, but we also have a system, through Citizens United, which allows billionaires to buy elections. So, what we need to do, simple and straightforward, in every state in this country, through the federal government, if you are 18, you have a right to vote, end of discussion. We have to overturn Citizens United, we need to move towards public funding of elections.']"
BUTTIGIEG,"[' If it’s true, that if we embrace a far left agenda, they’re gonna say, we’re a bunch of crazy socialists. If we embrace a conservative agenda, you know what they’re gonna do? They’re gonna say, we’re a bunch of crazy socialists. So, let’s just stand up for the right policy, go out there, and defend it.']"
BIDEN,"[' Secondly, I… You know, I’m part of that Obama coalition. I come out of the Black community in terms of my support. If you notice, I have more people supporting me in the Black community that have announced for me because they know me, they know who I am. Three former chairs of the Black caucus, the only African-American woman that ever been elected to the United States Senate, a whole range of people. My point is…']"
BIDEN,"[' Secondly, we have to rebuild the middle-class, and the only way we’re going to do that is be able to reach across the aisle. My dad used to say, “A job’s about a lot more than a paycheck, Joey, it’s about your dignity.” We have to restore people’s dignity. And lastly, we have to unite the country, because, folks, it’s time we stopped walking around with our heads down. We are better positioned than any country in the world to own the 21st century. So for God’s sake, get up, get up, and remember, this is the United States of America, there’s nothing, nothing we’re unable to do when we decide we’re going to do it. Nothing at all. Period.']"
BIDEN,"[' Well, look, the next president of the United States is going to have to do two things', ' Defeat Donald Trump, that’s number one; and, number two, is going to have to… Be able to go into states like Georgia and North Carolina and other places and get a Senate majority. That’s what I’ll do. You have to ask yourself up here, who is most likely to be able to win the nomination in the first place, to win the presidency in the first place. And, secondly, who is most likely to increase the number of people who are Democrats in the House and in the Senate? And by the way, I learned something about these impeachment trials. I learned, number one, that Donald Trump doesn’t want me to be the nominee. That’s pretty clear. He held up aid to make sure that… While at the same time innocent people in the Donbass are getting killed by Russian soldiers. Secondly, I found out that Vladimir Putin doesn’t want me to be president. So I’ve learned a lot about these things early on from these hearings that are being held. But the bottom line is, I think we have to ask ourselves the honest question', ' Who is most likely to do what needs to be done, produce a Democratic majority in the United States Senate, maintain the House, and beat Trump?']"
BUTTIGIEG,"[' I think you can buy into it. That’s the idea of Medicare for All Who Want it. Look, this is a distinction without a difference whether you’re paying the same money in the form of taxes or premiums. Look, in this country, if you have health coverage… If you don’t have health coverage you’re paying too much for care. And if you do have health coverage you’re paying too much for care.']"
BIDEN,"[' So my point is… And one of the reasons I was picked to be Vice President was because of my relationship, longstanding relation with the Black community. I was part of that coalition.']"
SANDERS,"[' I am the son of an immigrant, a young man of 17 who came to this country without a nickel in his pocket. I have some sense of the immigrant experience. I will stand with the 11 million undocumented immigrants in this country. At the age of 21, as a member of a civil rights group at the University of Chicago, I was arrested, spent the night in jail. And I have been committed to the fight against all forms of discrimination, racial discrimination, sexism, homophobia, xenophobia and religious bigotry. I will lead an administration that will look like America, will end the divisiveness brought by Trump and bring us together.']"
OROURKE,"[' It’s an honor to be on this debate stage. It is wonderful to be back in Texas, in Houston, back here at Tom SteyerU. On August 3rd in El Paso, Texas, two things became crystal clear for me, and I think produced a turning point for this country. The first is just how dangerous Donald Trump is, the cost and the consequence of his presidency. A racism and violence that had long been a part of America was welcomed out into the open and directed to my hometown of El Paso, Texas, where 22 people were killed, dozens more grievously injured by a man carrying a weapon he should never have been able to buy in the first place, inspired to kill by our President. The second is how insufficient our politics is to meet the threat that we have right now. The bitterness, the pettiness, the smallness of the moment, the incentives to attack one another and try to make differences without distinctions, mountains out of molehills. We have to be bigger, we have to see clearly, we have to speak honestly, and we have to act decisively. That’s what I want to do for you as President of the United States. Thank you.']"
GABBARD,"[' Yes, I would. We have seen for far too long the kind of racial bigotry, divisiveness and attacks that are unfortunately taken the lives of our fellow Americans. Leadership starts at the top. It’s important that we set the record straight and correct the racial injustices that exists in a very institutional way in our country, beginning with things that have to do with our criminal justice system, where predominantly the failed war on drugs that has been continuing to be waged in this country has disproportionately impacted people of color and people in poverty. This is something that I’ll do as president and Commander-in-Chief, is to overhaul our criminal justice system, working in a bipartisan way to do things like end the failed war on drugs, end the money bail system, enact the kinds of prison reforms and sentencing reforms that we need to see that will correct the failures of the past.']"
SANDERS,"[' Let’s be clear, what this debate is about. Nobody can defend the dysfunctionality of the current system. What we are taking on is the fact that over the last 20 years, the drug companies and the insurance companies have spent $4.5 billion of your health insurance money on lobbying, and campaign contributions. That is why when I went to Canada the other day, people paid one-tenth the price in Canada for insulin that they’re paying in the United States.']"
BOOKER,"[' Strategies like investing in our children work. And I’ll tell you this, I am tired of us thinking about these problems isolated, disconnected from other issues. That’s why my friend Secretary Castro was 100% right. We are in the reality we are right now because, Vice President, of overtly racist policies, not 400 years ago, just in my lifetime. That were redlining communities, disinvesting in communities and more than just that, my kids are not only struggling with racial segregation and housing and the challenges of under-funded schools, but they’re also struggling with environmental injustice. If you’ve talked to someone who’s a parent of a child who’s had permanent brain damage because of lead, you’ll know this is a national problem, because there’s over 3,000 jurisdictions in America where children have more than twice the blood lead levels of Flint, Michigan.']"
BUTTIGIEG,"[' What we are doing, or what we were doing, in Syria was keeping our word. Part of what makes it possible for the United States to get people to put their lives on the line to back us up is the idea that we will back them up too. When I was deployed, not just the Afghan National Army forces, but the janitors put their lives on the line just by working with US forces. I would have a hard time today looking an Afghan civilian or soldier in the eye after what just happened over there. And it is undermining the honor of our soldiers. You take away the honor of our soldiers, you might as well go after their body armor next. This president has betrayed American values.']"
BUTTIGIEG,"[' I believe what’s deepened divisions in the country is the conduct of this President, and we have a chance to change all of that. Look, systemic racism preceded this president, and even when we defeat him, it will be with us, that’s why we need a systemic approach to dismantle it. It’s not enough to just take a racist policy, replace it with a neutral one, and expect things will just get better on their own. Harms compound, in the same way that a dollar saved compound, so does a dollar stolen. And we know that the generational theft of the descendants of slaves is part of why everything from housing to education to health to employment basically puts us in two different countries. I have proposed the most comprehensive vision to tackle systemic racism in every one of these areas, marshalling as many resources as went into the Marshall Plan that rebuilt Europe, but this time a Douglass Plan that we invest right here at home to make sure that we’re not only dealing with things like the over-incarceration of black Americans, but also black solutions, entrepreneurship, raising to 25% the target for the federal government to do business with minority-owned businesses, investing in HBCUs that are training and educating the next generation of entrepreneurs.']"
HARRIS,"[' Absolutely not. But my plan has been described by activists as being a bold and comprehensive plan that is about ending mass incarceration, about taking the profit out of the criminal justice system. I plan on shutting down for-profit prisons on day one. It will be about what we need to do to hold law enforcement, including prosecutors, accountable. And finally, my plan is about making sure that in America’s criminal justice system we de-incarcerate women and children, that we end solitary confinement, and that we work on keeping families intact. And, as President of the United States, knowing the system from the inside, I will have the ability to be an effective leader and get this job complete.']"
