label,Quotes,clean_quote,final_clean,char_count,word_count,word_density,punctuation_count,title_word_count,upper_case_word_count
STEYER,"[' So I’m friends with a woman from Denmark, South Carolina, named Deanna Berry, who’s fighting for clean water and environmental justice in her community. She’s a different gender, she’s a different race, she’s from a different part of the country, but she reminds me of my parents in terms of her courage and her optimism and her honor. My mother was a school teacher in the New York public schools, and in the Brooklyn house of detention. My father was the first generation in his family to go to college. My grandfather was a plumber. He interrupted his law degree to go into the Navy in World War II, and he ended up prosecuting the Nazis at Nuremberg. And when I asked him what that experience meant, he said, “When you see something wrong in your society, you fight it from the first day, and every single day after.” And that’s why I started the Need to Impeach Movement two years ago because there was something terribly wrong at 1600 Pennsylvania Avenue.']",im friends woman denmark south carolina named deanna berry whos fighting clean water environmental justice community shes different gender shes different race shes different part country reminds parents terms courage optimism honor mother school teacher new york public schools brooklyn house detention father first generation family go college grandfather plumber interrupted law degree go navy world war ii ended prosecuting nazis nuremberg asked experience meant said “when see something wrong society fight first day every single day after” thats started need impeach movement two years ago something terribly wrong 1600 pennsylvania avenue,im friend woman denmark south carolina named deanna berry who fighting clean water environmental justice community shes different gender shes different race shes different part country reminds parent term courage optimism honor mother school teacher new york public school brooklyn house detention father first generation family go college grandfather plumber interrupted law degree go navy world war ii ended prosecuting nazi nuremberg asked experience meant said “when see something wrong society fight first day every single day after” thats started need impeach movement two year ago something terribly wrong 1600 pennsylvania avenue,12,12,9,11,14,3
BIDEN,"[' Yes. And by the way, it’s one of the reasons… The first thing I would do is make sure we pass the Violence Against Women Act reauthorization, which I wrote. In fact, I didn’t write the reauthorization. I wrote the original Act. The fact is that what happens now is that we, in fact, have to fundamentally change the culture, the culture of how women are treated. That’s why as Vice President… And when I asked the President, I could start the movement on the college campuses to say, “It’s on us.” It’s everyone’s responsibility. We do not spend nearly enough time dealing with… I was stunned when I did a virtual town meeting that told me 30,000 people were on the call, young people between 15 and 25, and found out I said, “What do you need… What do you need to make you safer on college campuses and on your schools?” You know what they said? “Get men involved, engage the rest of the community.” And that’s when we started this movement on the college campuses to fundamentally change the culture. No man has a right to raise a hand to a woman in anger, other than in self-defense, and that rarely ever occurs.']",yes way one reasons first thing would make sure pass violence women act reauthorization wrote fact didnt write reauthorization wrote original act fact happens fact fundamentally change culture culture women treated thats vice president asked president could start movement college campuses say “its us” everyones responsibility spend nearly enough time dealing stunned virtual town meeting told 30000 call young 15 25 found said “what need need make safer college campuses schools” know said “get men involved engage rest community” thats started movement college campuses fundamentally change culture man right raise hand woman anger selfdefense rarely ever occurs,yes way one reason first thing would make sure pas violence woman act reauthorization wrote fact didnt write reauthorization wrote original act fact happens fact fundamentally change culture culture woman treated thats vice president asked president could start movement college campus say “its us” everyones responsibility spend nearly enough time dealing stunned virtual town meeting told 30000 call young 15 25 found said “what need need make safer college campus schools” know said “get men involved engage rest community” thats started movement college campus fundamentally change culture man right raise hand woman anger selfdefense rarely ever occurs,14,15,8,15,15,11
BUTTIGIEG,"[' So, we don’t have to stand up here speculating about whether the public option will be better than… Or a Medicare for All environment will be better than the corporate options. We can put it to the test. That’s the concept of my Medicare for All Who Want It proposal. That way, if people like me are right, that the public alternative is going to be not only more comprehensive, but more affordable than any of the corporate options around there, we’ll see Americans walk away from the corporate options into that Medicare option, and it will become Medicare for All without us having to kick anybody off…']",dont stand speculating whether public option better medicare environment better corporate options put test thats concept medicare want proposal way like right public alternative going comprehensive affordable corporate options around well see americans walk away corporate options medicare option become medicare without us kick anybody,dont stand speculating whether public option better medicare environment better corporate option put test thats concept medicare want proposal way like right public alternative going comprehensive affordable corporate option around well see american walk away corporate option medicare option become medicare without u kick anybody,7,7,9,5,7,0
BIDEN,"[' The greed and profiteering of those insurance companies. They are as much against my bill as they are anybody else. That were strongly against ObamaCare. They know it cost them, and it’s going to take away the right of people to choose, the 160 million people out there who’ve negotiated their health insurance and they want to keep it.']",greed profiteering insurance companies much bill anybody else strongly obamacare know cost going take away right choose 160 million whove negotiated health insurance want keep,greed profiteering insurance company much bill anybody else strongly obamacare know cost going take away right choose 160 million whove negotiated health insurance want keep,3,3,9,4,1,0
GABBARD,"[' These are wars that have cost us as American taxpayers trillions of dollars since 9/11 alone, dollars that have come out of our pockets, out of our hospitals, out of our schools, out of our infrastructure needs. As president, I will end this foreign policy, end these regime change wars, work to end this new cold war and arms race, and instead invest our hard-earned tax payer dollars actually into serving the needs of the American people right here at home.']",wars cost us taxpayers trillions dollars since 911 alone dollars come pockets hospitals schools infrastructure needs president end foreign policy end regime change wars work end new cold war arms race instead invest hardearned tax payer dollars actually serving needs right home,war cost u taxpayer trillion dollar since 911 alone dollar come pocket hospital school infrastructure need president end foreign policy end regime change war work end new cold war arm race instead invest hardearned tax payer dollar actually serving need right home,4,4,10,7,2,1
OROURKE,"[' The question was about tarrifs, and they’re a huge mistake. They constitute the largest tax increase on the American consumer, hitting the middle class and the working poor especially hard. And farmers in Iowa and across the country are bearing the brunt of the consequences. When have we ever gone to war, including a trade war, without allies and friends and partners? As president, we will hold China accountable, but we will bring our allies and friends like the European Union to bear. And we’ll also negotiate trade deals that favor farmers and American workers and protect human rights and the environment and labor. Not just here in the United States but in the…']",question tarrifs theyre huge mistake constitute largest tax increase consumer hitting middle class working poor especially hard farmers iowa across country bearing brunt consequences ever gone war including trade war without allies friends partners president hold china accountable bring allies friends like european union bear well also negotiate trade deals favor farmers workers protect human rights environment labor states,question tarrifs theyre huge mistake constitute largest tax increase consumer hitting middle class working poor especially hard farmer iowa across country bearing brunt consequence ever gone war including trade war without ally friend partner president hold china accountable bring ally friend like european union bear well also negotiate trade deal favor farmer worker protect human right environment labor state,8,7,11,7,7,0
SANDERS,"[' And second of all, second of all, many of our union brothers and sisters… Nobody more pro-union than me up here… Are now paying high deductibles and co-payments and when we do Medicare for All instead of having the company putting money into health care, they can get decent wage increases, which they’re not getting today.']",second second many union brothers sisters nobody prounion paying high deductibles copayments medicare instead company putting money health care get decent wage increases theyre getting today,second second many union brother sister nobody prounion paying high deductible copayments medicare instead company putting money health care get decent wage increase theyre getting today,2,2,10,4,2,0
BOOKER,"[' I will lead an effort to make sure that we re-write our immigration laws in that way. Never cage another child, make sure that there is accountability and justice for the seven lives lost under our care and our custody, but also face the fact that Democrats and Republicans alike voted to build a wall that has produced thousands of deaths of people trying to cross to join family or to work a job, that we have been part of deporting people, hundreds of thousands, just in the Obama administration alone, who posed no threat to this country, breaking up their families. Democrats have to get off the back foot. We have to lead on this issue because we know it is right, legalize America, begin with those more than 1 million dreamers, make them US citizens right now, and this their true home country. And extend that to their parents, their sisters and their brothers, and ensure that we have a legal, safe, orderly system to come to this country and add to our greatness here.']",lead effort make sure rewrite immigration laws way never cage another child make sure accountability justice seven lives lost care custody also face fact democrats republicans alike voted build wall produced thousands deaths trying cross join family work job part deporting hundreds thousands obama administration alone posed threat country breaking families democrats get back foot lead issue know right legalize begin 1 million dreamers make us citizens right true home country extend parents sisters brothers ensure legal safe orderly system come country add greatness,lead effort make sure rewrite immigration law way never cage another child make sure accountability justice seven life lost care custody also face fact democrat republican alike voted build wall produced thousand death trying cross join family work job part deporting hundred thousand obama administration alone posed threat country breaking family democrat get back foot lead issue know right legalize begin 1 million dreamer make u citizen right true home country extend parent sister brother ensure legal safe orderly system come country add greatness,12,12,9,11,4,2
KLOBUCHAR,"[' We need a new foreign policy in this country, and that means renewing our relationships with our allies, it means rejoining international agreements, and it means reasserting our American values. And so, when the president did not stand up the way he should have to that killing and that dismemberment of a journalist with an American newspaper, that sent a signal to all dictators across the country, across the world that that was okay, and that’s wrong. And I want to add a few things to what my colleagues have said. First of all, the question about Russia. When we look at international agreements, we must start negotiating back with Russia, which has been a horrible player on the international scene, but the president precipitously got out of the nuclear agreement with Russia, and we must start negotiating, even though they were cheating, for the good of this world. And we must also start the negotiations for the new START Treaty, and when it comes to China, we need someone that sees the long term like I do, just like the Chinese do, because we have a president that literally makes decisions based on his next tweet, and they are in it for the long game.']",need new foreign policy country means renewing relationships allies means rejoining international agreements means reasserting values president stand way killing dismemberment journalist newspaper sent signal dictators across country across world okay thats wrong want add things colleagues said first question russia look international agreements must start negotiating back russia horrible player international scene president precipitously got nuclear agreement russia must start negotiating even though cheating good world must also start negotiations new start treaty comes china need someone sees long term like like chinese president literally makes decisions based next tweet long game,need new foreign policy country mean renewing relationship ally mean rejoining international agreement mean reasserting value president stand way killing dismemberment journalist newspaper sent signal dictator across country across world okay thats wrong want add thing colleague said first question russia look international agreement must start negotiating back russia horrible player international scene president precipitously got nuclear agreement russia must start negotiating even though cheating good world must also start negotiation new start treaty come china need someone see long term like like chinese president literally make decision based next tweet long game,15,15,10,13,7,3
BUTTIGIEG,"[' We can and must do that, but that means transcending this framework that pits us against each other, that pits a single black mother of three against a displaced auto worker. ‘Cause when I come… Where I come from, a lot of times, that displaced auto worker is a single black mother of three. We’ve got to say that and bring people together.']",must means transcending framework pits us pits single black mother three displaced auto worker ‘cause come come lot times displaced auto worker single black mother three weve got say bring together,must mean transcending framework pit u pit single black mother three displaced auto worker ‘cause come come lot time displaced auto worker single black mother three weve got say bring together,3,3,7,4,2,2
BUTTIGIEG,"[' Well, Congressman, you just made it clear that you don’t know how this is actually going to take weapons off the streets. If you can develop the plan further, I think we can have a debate about it, but we can’t wait. People are dying in the streets right now. We can’t wait for universal background checks that we finally have a shot to actually get through. We can’t wait to ban the sale of new weapons and high-capacity magazines so we don’t wind up with millions more of these things on the street. We can’t wait for Red Flag laws or go in to disarm domestic abusers and prevent suicides, which are not being talked about nearly enough as a huge part of the gun violence epidemic in this country. We cannot wait for purity tests. We have to just get something done.']",well congressman made clear dont know actually going take weapons streets develop plan think debate cant wait dying streets right cant wait universal background checks finally shot actually get cant wait ban sale new weapons highcapacity magazines dont wind millions things street cant wait red flag laws go disarm domestic abusers prevent suicides talked nearly enough huge part gun violence epidemic country cannot wait purity tests get something done,well congressman made clear dont know actually going take weapon street develop plan think debate cant wait dying street right cant wait universal background check finally shot actually get cant wait ban sale new weapon highcapacity magazine dont wind million thing street cant wait red flag law go disarm domestic abuser prevent suicide talked nearly enough huge part gun violence epidemic country cannot wait purity test get something done,9,10,7,8,5,1
BOOKER,"[' And what I learned there is that you have to be an executive that can heal. In my city, we have racial divides, we have geographic divides that go from wealth to people that are struggling. The success of my city was ’cause we brought us all together and did things that other people said couldn’t be done. When I am president of the United States, my campaign from the very beginning has not changed. My charge is to see a nation right now which has so much common pain, to channel that back into a sense of common purpose. And I will do whatever it takes, bringing creativity to that office like has never been seen before.']",learned executive heal city racial divides geographic divides go wealth struggling success city cause brought us together things said couldnt done president states campaign beginning changed charge see nation right much common pain channel back sense common purpose whatever takes bringing creativity office like never seen,learned executive heal city racial divide geographic divide go wealth struggling success city cause brought u together thing said couldnt done president state campaign beginning changed charge see nation right much common pain channel back sense common purpose whatever take bringing creativity office like never seen,7,7,7,6,5,3
HARRIS,"[' When I think about this issue, it really is through the lens of my baby nieces who are one-and-a-half and three-years old. When I look at what is going to be the world if we do nothing, when they turn 20, I am really scared. And when I’ve been in the United States Senate, for now, the last two-and-a-half-years, and I look at our counterparts, the Republicans in the United States Senate, they must be looking at their children, and then when they look at the mirror, I don’t know what they see, but it’s a lack of courage. And this is an issue that, yes, it represents an existential threat. It is also something we can do something about. This is a problem that was created by human behaviors, and we can change our behaviors in a way that saves our planet, I’ve seen it happen in California.']",think issue really lens baby nieces oneandahalf threeyears old look going world nothing turn 20 really scared ive states senate last twoandahalfyears look counterparts republicans states senate must looking children look mirror dont know see lack courage issue yes represents existential threat also something something problem created human behaviors change behaviors way saves planet ive seen happen california,think issue really lens baby niece oneandahalf threeyears old look going world nothing turn 20 really scared ive state senate last twoandahalfyears look counterpart republican state senate must looking child look mirror dont know see lack courage issue yes represents existential threat also something something problem created human behavior change behavior way save planet ive seen happen california,10,10,7,15,9,6
